"","threshold","all","none","Xgboost"
"1",0.01,0.0166823036750919,0,0.018827601762696
"2",0.02,0.00664844963096021,0,0.0157194340069854
"3",0.03,-0.0035922880017103,0,0.013053134272028
"4",0.04,-0.0140463743350615,0,0.0116026346530734
"5",0.05,-0.0247205466964832,0,0.0102962898601095
"6",0.06,-0.0356218291081479,0,0.0092302108309932
"7",0.07,-0.0467575477007086,0,0.00817172535379044
"8",0.08,-0.058135347132238,0,0.00752970894863629
"9",0.09,-0.0697632080897351,0,0.00688233479961693
"10",0.1,-0.0816494659573989,0,0.0060387522808237
"11",0.11,-0.0938028307434371,0,0.00552311608924851
"12",0.12,-0.106232408365522,0,0.0051797407562461
"13",0.13,-0.118947723404206,0,0.00473758834082539
"14",0.14,-0.13195874344379,0,0.00437608315972468
"15",0.15,-0.145275905131364,0,0.00408801977650909
"16",0.16,-0.158910142097213,0,0.00389826043662172
"17",0.17,-0.172872914893565,0,0.0036123292370106
"18",0.18,-0.187176243123974,0,0.00326220483509901
"19",0.19,-0.201832739952665,0,0.00304646175993238
"20",0.2,-0.216855649202074,0,0.00295058939380774
"21",0.21,-0.232258885267923,0,0.00274248771737254
"22",0.22,-0.248057076104691,0,0.00264193091545598
"23",0.23,-0.264265609560596,0,0.00253612926303864
"24",0.24,-0.280900683370604,0,0.00245345747721463
"25",0.25,-0.297979359148879,0,0.00225910157268225
"26",0.26,-0.315519620758999,0,0.00220274145028685
"27",0.27,-0.333540437481725,0,0.00198931072803456
"28",0.28,-0.352061832446749,0,0.00190672034446472
"29",0.29,-0.371104956847407,0,0.00183404129122055
"30",0.3,-0.390692170516656,0,0.00166329456450231
"31",0.31,-0.410847129509651,0,0.00160869691142786
"32",0.32,-0.431594881414204,0,0.00158528960285131
"33",0.33,-0.452961969196506,0,0.00153697582121541
"34",0.34,-0.474976544487362,0,0.00145340800480257
"35",0.35,-0.497668491325629,0,0.00136793724420799
"36",0.36,-0.521069561502592,0,0.00132052451704463
"37",0.37,-0.545213522796284,0,0.0013063160599871
"38",0.38,-0.570136321551063,0,0.00123839501016969
"39",0.39,-0.595876261248621,0,0.00109726434099804
"40",0.4,-0.622474198936098,0,0.00107645224510287
"41",0.41,-0.649973761629931,0,0.000994799942859751
"42",0.42,-0.678421585106309,0,0.000954275664322674
"43",0.43,-0.707867577827472,0,0.000880317920529014
"44",0.44,-0.73836521314582,0,0.000825440959249283
"45",0.45,-0.769971853384835,0,0.000720121538611416
"46",0.46,-0.802749109928998,0,0.000662390893224733
"47",0.47,-0.836763244078602,0,0.000633083979669179
"48",0.48,-0.872085614157037,0,0.00062715689616376
"49",0.49,-0.908793175218939,0,0.000527578019361943
"50",0.5,-0.946969038723318,0,0.000477886871144322
"51",0.51,-0.98670310073808,0,0.000460450058900961
"52",0.52,-1.02809274867012,0,0.00045013081549705
"53",0.53,-1.0712436582163,0,0.000351251472020971
"54",0.54,-1.11627069426448,0,0.000220369439921624
"55",0.55,-1.1632989319148,0,0.000202739884727894
"56",0.56,-1.21246481673104,0,0.000206689363001814
"57",0.57,-1.26391748688758,0,0.000215537418979821
"58",0.58,-1.31782028419443,0,0.000244115371407056
"59",0.59,-1.37435248624795,0,0.000271968138049614
"60",0.6,-1.43371129840415,0,0.000209980594896747
"61",0.61,-1.49611415220938,0,8.28040188540666e-05
"62",0.62,-1.56180136674121,0,5.64013213152789e-05
"63",0.63,-1.631039241518,0,6.65362556056794e-06
"64",0.64,-1.7041236648935,0,1.28723736335171e-05
"65",0.65,-1.78138434103331,0,4.96505840149944e-05
"66",0.66,-1.86318976282841,0,0.000107332880150062
"67",0.67,-1.94995308897472,0,0.000113657208105031
"68",0.68,-2.04213912300518,0,5.43053262663998e-06
"69",0.69,-2.14027264310213,0,3.36342665908027e-05
"70",0.7,-2.2449483978722,0,1.44814203377067e-05
"71",0.71,-2.35684317021262,0,-3.39564338953124e-05
"72",0.72,-2.47673042629164,0,-2.06877433395809e-06
"73",0.73,-2.605498219858,0,7.24071016885336e-05
"74",0.74,-2.74417122831407,0,5.79256813508269e-05
"75",0.75,-2.89393807744664,0,5.79256813508269e-05
"76",0.76,-3.05618549734025,0,4.34442610131202e-05
"77",0.77,-3.23254138852895,0,4.34442610131202e-05
"78",0.78,-3.42492963346209,0,2.89628406754134e-05
"79",0.79,-3.63564056838885,0,2.89628406754134e-05
"80",0.8,-3.8674225968083,0,0
"81",0.81,-4.12360273348242,0,0
"82",0.82,-4.408247329787,0,0
"83",0.83,-4.72637952565682,0,0
"84",0.84,-5.08427824601037,0,0
"85",0.85,-5.48989679574439,0,0
"86",0.86,-5.95346085258328,0,0
"87",0.87,-6.48834245662815,0,0
"88",0.88,-7.11237099468049,0,0
"89",0.89,-7.84985926692417,0,0
"90",0.9,-8.73484519361659,0,0
"91",0.91,-9.81649465957399,0,0
"92",0.92,-11.1685564920207,0,0
"93",0.93,-12.9069217051666,0,0
"94",0.94,-15.224741989361,0,0
"95",0.95,-18.4696903872332,0,0
"96",0.96,-23.3371129840415,0,0
"97",0.97,-31.4494839787219,0,0
"98",0.98,-47.6742259680829,0,0
"99",0.99,-96.3484519361658,0,0
